Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 16, TimeInMs 7864
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 16, TimeInMs 7426
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 16, TimeInMs 7707
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 16, TimeInMs 7590
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 16, TimeInMs 7819
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 16, TimeInMs 8988
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 32, TimeInMs 7426
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 32, TimeInMs 6305
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 32, TimeInMs 7411
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 32, TimeInMs 6336
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 32, TimeInMs 7459
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 32, TimeInMs 6320
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 32, TimeInMs 7411
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 32, TimeInMs 6374
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 32, TimeInMs 7457
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 32, TimeInMs 6656
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 32, TimeInMs 7487
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 32, TimeInMs 6695
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 32, TimeInMs 7514
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 32, TimeInMs 6385
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 32, TimeInMs 7529
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 32, TimeInMs 6373
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 64, TimeInMs 7472
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 64, TimeInMs 6146
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 64, TimeInMs 7433
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 64, TimeInMs 6417
