Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 4861
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 20429
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 4703
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 17179
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 5120
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 24448
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 5403
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 15667
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 4899
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 15441
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 5329
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 13851
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 4265
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 12743
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 4538
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 23234
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 4044
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 12539
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 3977
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 15500
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 4080
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 15581
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 4349
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 16051
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 4203
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 15085
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 4324
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 18454
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 4710
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 64, TimeInMs 12833
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 3907
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 64, TimeInMs 15472
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 4398
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 64, TimeInMs 15416
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 4385
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 64, TimeInMs 15448
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 4516
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 64, TimeInMs 14083
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 4345
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 128, TimeInMs 17674
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 4174
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 128, TimeInMs 16268
