Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 1269
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 7909
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 1730
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 7587
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 2468
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 6892
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 1672
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 7945
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 1802
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 7817
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 1865
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 10931
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 1910
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 9496
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 1908
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 14901
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 3331
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 8659
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 3097
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 12257
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 3023
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 11505
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 2799
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 11230
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 2842
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 8053
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 3537
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 10344
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 2956
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 9291
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 2495
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 11397
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 4375
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 9486
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 2944
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 8394
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 2557
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 11317
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 64, TimeInMs 2905
