Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 16, TimeInMs 6629
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 16, TimeInMs 6151
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 16, TimeInMs 6625
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 16, TimeInMs 6158
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 16, TimeInMs 6702
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 16, TimeInMs 5945
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 32, TimeInMs 7852
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 32, TimeInMs 5153
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 32, TimeInMs 7006
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 32, TimeInMs 4716
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 32, TimeInMs 6884
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 32, TimeInMs 4749
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 32, TimeInMs 6930
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 32, TimeInMs 4706
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 32, TimeInMs 6921
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 32, TimeInMs 4655
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 32, TimeInMs 7246
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 32, TimeInMs 4604
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 32, TimeInMs 7467
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 32, TimeInMs 4700
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 32, TimeInMs 12410
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 32, TimeInMs 4980
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 64, TimeInMs 7035
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 64, TimeInMs 4678
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 64, TimeInMs 8506
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 64, TimeInMs 4600
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 64, TimeInMs 14617
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 64, TimeInMs 4686
Send: NumberOfMessages 1000, MessageSize 65536, Concurrency 64, TimeInMs 13224
Receive: NumberOfMessages 1000, MessageSize 65536, Concurrency 64, TimeInMs 4766
Send: NumberOfMessages 1000, MessageSize 262144, Concurrency 64, TimeInMs 18333
Receive: NumberOfMessages 1000, MessageSize 262144, Concurrency 64, TimeInMs 5290
Send: NumberOfMessages 1000, MessageSize 1048576, Concurrency 64, TimeInMs 13274
Receive: NumberOfMessages 1000, MessageSize 1048576, Concurrency 64, TimeInMs 4737
Send: NumberOfMessages 1000, MessageSize 4194304, Concurrency 64, TimeInMs 10062
Receive: NumberOfMessages 1000, MessageSize 4194304, Concurrency 64, TimeInMs 4617
Send: NumberOfMessages 1000, MessageSize 16777216, Concurrency 64, TimeInMs 12982
Receive: NumberOfMessages 1000, MessageSize 16777216, Concurrency 64, TimeInMs 4649
Send: NumberOfMessages 1000, MessageSize 1024, Concurrency 128, TimeInMs 8444
Receive: NumberOfMessages 1000, MessageSize 1024, Concurrency 128, TimeInMs 4919
Send: NumberOfMessages 1000, MessageSize 4096, Concurrency 128, TimeInMs 12690
Receive: NumberOfMessages 1000, MessageSize 4096, Concurrency 128, TimeInMs 4728
Send: NumberOfMessages 1000, MessageSize 16384, Concurrency 128, TimeInMs 14314
Receive: NumberOfMessages 1000, MessageSize 16384, Concurrency 128, TimeInMs 4825
