Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 11185
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 1, TimeInMs 22960
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 11395
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 1, TimeInMs 22074
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 10661
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 1, TimeInMs 21657
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 10792
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 1, TimeInMs 22561
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 10929
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 1, TimeInMs 22103
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 10694
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 1, TimeInMs 22188
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 10885
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 1, TimeInMs 21740
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 11233
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 1, TimeInMs 21829
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 11157
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 1, TimeInMs 23203
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 4773
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 2, TimeInMs 15823
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 5004
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 2, TimeInMs 15528
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 4763
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 2, TimeInMs 15056
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 4486
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 2, TimeInMs 15557
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 5079
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 2, TimeInMs 14820
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 4620
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 2, TimeInMs 15377
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 5038
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 2, TimeInMs 15884
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 5015
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 2, TimeInMs 15138
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 4497
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 2, TimeInMs 14767
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 3894
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 4, TimeInMs 11008
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 4905
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 4, TimeInMs 12468
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 4658
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 4, TimeInMs 13526
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 3441
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 4, TimeInMs 12637
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 4110
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 4, TimeInMs 10952
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 3458
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 4, TimeInMs 12719
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 3096
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 4, TimeInMs 12321
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 3263
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 4, TimeInMs 13912
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 4, TimeInMs 3393
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 4, TimeInMs 13372
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 2736
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 8, TimeInMs 9906
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 4282
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 8, TimeInMs 7226
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 2811
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 8, TimeInMs 7851
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 2701
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 8, TimeInMs 10721
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 5335
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 8, TimeInMs 8340
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 3671
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 8, TimeInMs 7447
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 3682
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 8, TimeInMs 7975
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 4117
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 8, TimeInMs 10595
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 8, TimeInMs 2873
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 8, TimeInMs 9367
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 5591
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 16, TimeInMs 7621
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 5793
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 16, TimeInMs 9868
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 5975
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 16, TimeInMs 5905
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 6067
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 16, TimeInMs 6729
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 3835
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 16, TimeInMs 6835
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 5525
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 16, TimeInMs 4571
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 5499
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 16, TimeInMs 5049
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 4646
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 16, TimeInMs 5933
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 6084
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 16, TimeInMs 7666
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 5607
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 32, TimeInMs 9725
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 5663
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 32, TimeInMs 9537
Send: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 6141
Receive: NumberOfMessages 10000, MessageSize 16384, Concurrency 32, TimeInMs 8890
Send: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 5788
Receive: NumberOfMessages 10000, MessageSize 65536, Concurrency 32, TimeInMs 9141
Send: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 6297
Receive: NumberOfMessages 10000, MessageSize 262144, Concurrency 32, TimeInMs 7762
Send: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 6057
Receive: NumberOfMessages 10000, MessageSize 1048576, Concurrency 32, TimeInMs 8633
Send: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 5859
Receive: NumberOfMessages 10000, MessageSize 4194304, Concurrency 32, TimeInMs 9185
Send: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 5923
Receive: NumberOfMessages 10000, MessageSize 16777216, Concurrency 32, TimeInMs 9529
Send: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 5979
Receive: NumberOfMessages 10000, MessageSize 67108864, Concurrency 32, TimeInMs 8175
Send: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 6093
Receive: NumberOfMessages 10000, MessageSize 1024, Concurrency 64, TimeInMs 9950
Send: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 5957
Receive: NumberOfMessages 10000, MessageSize 4096, Concurrency 64, TimeInMs 9770
